1,2,3,4,5,6
1,lawyer,Milan,winter,senior,344
0,lawyer,Ivan,spring,junior,344354
1,dentist,Valentin,summer,middle,21
0,doctor,Ivan,autumn,senior,21
0,lawyer,Milan,spring,middle,213
1,doctor,Alex,winter,senior,4344
1,programmer,Alex,winter,junior,4344
0,lawyer,Demid,spring,senior,344354
0,lawyer,Milan,summer,senior,344354
0,programmer,Milan,spring,senior,344
0,doctor,Alex,spring,middle,21
1,dentist,Ivan,winter,middle,4344
1,dentist,Demid,winter,middle,344334
0,programmer,Alex,winter,junior,4344
0,programmer,Valentin,winter,junior,344
0,dentist,Alex,autumn,middle,213
1,dentist,Alex,autumn,junior,344
1,dentist,Milan,winter,senior,21
0,dentist,Demid,spring,senior,213
1,dentist,Milan,winter,junior,4344
1,programmer,Milan,winter,middle,344354
0,doctor,Ivan,autumn,senior,344354
1,programmer,Milan,spring,junior,344354
0,doctor,Ivan,autumn,senior,344334
0,dentist,Demid,summer,senior,4344
0,doctor,Milan,spring,junior,344
0,programmer,Milan,summer,senior,213
1,doctor,Milan,winter,senior,344334
1,dentist,Alex,spring,junior,344
1,dentist,Milan,winter,middle,344334
1,doctor,Demid,autumn,middle,21
1,doctor,Milan,spring,middle,344354
0,dentist,Demid,winter,senior,21
0,lawyer,Milan,autumn,junior,21
1,lawyer,Demid,spring,junior,344
1,programmer,Valentin,autumn,junior,4344
0,doctor,Valentin,autumn,middle,344354
0,lawyer,Milan,autumn,middle,4344
1,doctor,Valentin,winter,middle,344
1,lawyer,Demid,spring,middle,213
0,dentist,Ivan,summer,senior,21
0,dentist,Alex,summer,junior,21
1,programmer,Ivan,autumn,junior,344
1,dentist,Ivan,summer,middle,213
0,doctor,Alex,winter,senior,344
0,doctor,Valentin,winter,middle,213
1,doctor,Milan,spring,junior,4344
0,dentist,Valentin,summer,junior,344
1,programmer,Milan,summer,middle,344334
1,dentist,Demid,spring,middle,213
0,dentist,Valentin,summer,junior,344334
0,doctor,Alex,summer,senior,21
1,programmer,Demid,spring,junior,21
1,doctor,Ivan,autumn,middle,213
1,doctor,Valentin,winter,senior,4344
1,programmer,Milan,winter,senior,21
1,programmer,Demid,autumn,middle,344354
0,programmer,Demid,autumn,middle,4344
1,dentist,Demid,winter,senior,21
0,doctor,Valentin,winter,senior,213
1,lawyer,Valentin,autumn,junior,213
1,dentist,Milan,spring,senior,213
0,doctor,Milan,autumn,senior,4344
0,dentist,Milan,summer,junior,21
0,dentist,Demid,summer,senior,344334
0,programmer,Alex,summer,senior,213
1,lawyer,Demid,autumn,middle,344354
0,dentist,Alex,autumn,junior,344
0,dentist,Valentin,spring,senior,344354
0,lawyer,Milan,spring,senior,344334
0,doctor,Ivan,autumn,senior,344354
1,dentist,Alex,summer,junior,213
0,programmer,Valentin,winter,junior,4344
1,doctor,Demid,autumn,senior,344
0,programmer,Alex,winter,junior,213
0,dentist,Ivan,autumn,middle,344
1,dentist,Demid,winter,middle,344354
0,dentist,Alex,spring,junior,21
1,programmer,Alex,winter,middle,344354
1,dentist,Milan,spring,senior,21
0,programmer,Demid,winter,senior,344
1,doctor,Ivan,spring,middle,213
0,lawyer,Valentin,spring,senior,344354
0,lawyer,Alex,autumn,middle,344334
1,programmer,Alex,summer,middle,344
0,dentist,Ivan,autumn,middle,344334
0,doctor,Alex,summer,senior,344334
0,lawyer,Ivan,spring,middle,21
0,programmer,Demid,spring,senior,344334
0,lawyer,Valentin,summer,junior,213
1,doctor,Demid,autumn,senior,344
1,lawyer,Ivan,winter,senior,21
1,lawyer,Milan,summer,junior,21
0,lawyer,Valentin,summer,junior,213
1,lawyer,Alex,summer,middle,344
1,lawyer,Demid,autumn,middle,344334
0,lawyer,Ivan,summer,middle,21
1,lawyer,Alex,winter,middle,344354
0,dentist,Milan,autumn,senior,21
0,lawyer,Milan,autumn,junior,4344
