0	dentist	Alex	winter	senior	4344
0	dentist	Ivan	winter	middle	21
0	dentist	Ivan	autumn	junior	213
1	dentist	Milan	winter	senior	21
0	dentist	Valentin	spring	junior	21
1	dentist	Demid	winter	junior	344
0	lawyer	Milan	spring	senior	344354
0	lawyer	Valentin	spring	junior	344
1	lawyer	Ivan	summer	middle	344354
0	lawyer	Ivan	autumn	middle	21
0	doctor	Milan	spring	senior	344334
1	programmer	Demid	spring	junior	213
0	doctor	Milan	winter	senior	21
1	dentist	Demid	winter	junior	344354
0	dentist	Alex	autumn	senior	344334
0	dentist	Valentin	spring	senior	344334
1	programmer	Alex	summer	middle	21
0	programmer	Demid	spring	junior	213
1	doctor	Ivan	spring	middle	213
1	doctor	Demid	spring	middle	344334
0	programmer	Milan	winter	middle	213
0	programmer	Ivan	autumn	senior	21
0	lawyer	Demid	summer	middle	344
0	doctor	Alex	summer	senior	213
0	programmer	Demid	autumn	middle	344334
1	programmer	Alex	spring	junior	213
0	lawyer	Alex	summer	junior	21
0	lawyer	Alex	summer	junior	4344
1	lawyer	Alex	winter	junior	4344
1	programmer	Ivan	summer	middle	344334
0	programmer	Demid	summer	senior	4344
0	doctor	Ivan	spring	senior	213
0	programmer	Ivan	spring	senior	213
0	programmer	Ivan	winter	middle	344
0	doctor	Ivan	winter	junior	344354
0	lawyer	Alex	spring	junior	213
1	programmer	Milan	autumn	senior	213
1	doctor	Alex	spring	senior	213
0	programmer	Ivan	spring	middle	344334
0	lawyer	Demid	autumn	senior	21
1	doctor	Demid	winter	middle	21
1	doctor	Demid	autumn	middle	4344
0	dentist	Demid	autumn	middle	213
0	doctor	Ivan	winter	senior	213
1	lawyer	Milan	autumn	middle	213
0	doctor	Demid	spring	middle	344334
1	dentist	Valentin	winter	junior	344
1	lawyer	Demid	summer	middle	21
1	lawyer	Ivan	autumn	junior	344
0	programmer	Demid	autumn	middle	213
1	lawyer	Alex	spring	junior	344354
0	dentist	Valentin	spring	middle	344354
1	lawyer	Alex	summer	middle	213
0	doctor	Valentin	spring	middle	344354
0	dentist	Valentin	autumn	senior	344
1	doctor	Valentin	winter	junior	344
0	lawyer	Valentin	autumn	senior	344334
0	lawyer	Alex	winter	junior	344354
0	lawyer	Valentin	spring	junior	344
1	programmer	Ivan	autumn	middle	213
0	dentist	Demid	winter	junior	21
0	programmer	Demid	summer	middle	21
0	lawyer	Alex	summer	middle	344
1	programmer	Valentin	spring	senior	344
0	dentist	Milan	winter	junior	344
0	doctor	Ivan	summer	middle	213
0	lawyer	Ivan	winter	junior	344354
1	lawyer	Ivan	summer	middle	344
0	dentist	Demid	summer	junior	344334
1	programmer	Demid	spring	senior	344334
1	doctor	Milan	autumn	senior	4344
0	dentist	Milan	autumn	junior	213
0	dentist	Alex	autumn	senior	213
1	doctor	Ivan	summer	junior	213
0	dentist	Valentin	spring	junior	344334
1	programmer	Milan	summer	senior	344354
0	doctor	Milan	spring	senior	213
1	programmer	Valentin	spring	junior	344334
0	lawyer	Ivan	autumn	middle	21
1	lawyer	Ivan	autumn	junior	21
0	dentist	Milan	summer	senior	4344
0	programmer	Milan	spring	middle	344354
0	programmer	Ivan	autumn	junior	344334
1	dentist	Alex	summer	middle	4344
1	programmer	Ivan	autumn	junior	344354
0	dentist	Milan	winter	junior	4344
0	doctor	Ivan	autumn	senior	21
0	dentist	Milan	autumn	middle	21
0	lawyer	Ivan	winter	senior	4344
0	doctor	Demid	autumn	junior	4344
0	lawyer	Valentin	summer	junior	344354
1	programmer	Milan	autumn	middle	344334
0	dentist	Ivan	autumn	junior	21
0	programmer	Demid	spring	middle	21
0	lawyer	Milan	summer	senior	213
0	programmer	Alex	winter	junior	213
0	programmer	Alex	spring	senior	344334
1	lawyer	Demid	summer	junior	21
1	dentist	Demid	winter	senior	213
0	doctor	Ivan	spring	middle	21
