N,seed,rs,cpu_rmse,mlx_rmse,ratio,cell_pass
1000,1337,0.0,0.20211586406742213,0.202126,1.0000501491192917,True
1000,1337,1.0,0.20373796161890656,0.203614,0.9993915634674974,True
1000,42,0.0,0.20518740256760726,0.205187,0.9999980380491093,True
1000,42,1.0,0.20686504416864557,0.206712,0.9992601738526651,True
1000,7,0.0,0.20256768875539072,0.202703,1.00066798039431,True
1000,7,1.0,0.2042256366497594,0.204034,0.9990616425395796,True
10000,1337,0.0,0.19462575739169616,0.194567,0.9996981006394857,True
10000,1337,1.0,0.19463892894386,0.194754,1.0005912026785413,True
10000,42,0.0,0.19479268394097587,0.194873,1.0004123155829017,True
10000,42,1.0,0.1949652030747887,0.19503,1.000332351230832,True
10000,7,0.0,0.19437097508948514,0.194375,1.0000207073639107,True
10000,7,1.0,0.19433856109778364,0.194264,0.9996163340030797,True
50000,1337,0.0,0.1941319710030913,0.194072,0.999691081264042,True
50000,1337,1.0,0.19403638611087753,0.19406,1.0001216982525585,True
50000,42,0.0,0.1937017966480829,0.193706,1.0000217001183769,True
50000,42,1.0,0.19375786041551474,0.193744,0.9999284652736926,True
50000,7,0.0,0.19329815499649453,0.193304,1.0000302382788164,True
50000,7,1.0,0.19317984166084026,0.193337,1.0008135338439488,True
